Subset,Model,Type,Training Time (s),Accuracy,Precision,Recall,F1-Score,AUCPR,TP,FP,TN,FN
subset_15%,Random Forest,SL,0.4109477996826172,0.9991924440855307,0.9991308350391063,0.9991924440855307,0.9991195786489494,0.540883197842179,60,8,56856,38
subset_15%,Multi-layer Perceptron,SL,0.43321681022644043,0.9990168884519505,0.9989173727624989,0.9990168884519505,0.998898830366129,0.44317205025333756,51,9,56855,47
subset_15%,XGBoost,SL,0.04854750633239746,0.9991222218320986,0.9990970852760991,0.9991222218320986,0.9991083853302659,0.5439698166435901,70,22,56842,28
subset_15%,LightGBM,SL,0.059470176696777344,0.9988588883817282,0.9988021876441158,0.9988588883817282,0.9986013875463078,0.3389438383293936,35,2,56862,63
subset_15%,CatBoost,SL,1.9612600803375244,0.9989642217618764,0.9989202791112362,0.9989642217618764,0.9987624586110182,0.39990906768093776,41,2,56862,57
subset_15%,Label Propagation,SSL,4.492786645889282,0.9984726659878516,0.9983601330522877,0.9984726659878516,0.9978884462745446,0.11453960576433203,12,1,56863,86
subset_15%,Label Spreading,SSL,4.606672286987305,0.9984726659878516,0.9983601330522877,0.9984726659878516,0.9978884462745446,0.11453960576433203,12,1,56863,86
subset_15%,KNN,SL,0.6443789005279541,0.9992275552122467,0.9991837916169555,0.9992275552122467,0.9991978933357405,0.5788618810166831,69,15,56849,29
subset_15%,Isolation Forest,UL,1.2776191234588623,0.9607106492047329,0.9980675072528657,0.9607106492047329,0.9783647311923677,0.030747252950520877,83,2223,54641,15
subset_15%,Local Outlier Factor,UL,0.18028759956359863,0.9560584249148555,0.9980787595380709,0.9560584249148555,0.975928204325009,0.028228677226305045,84,2489,54375,14
subset_15%,Histogram - based outlier detection,UL,0.0295257568359375,0.9015484006881781,0.9980917402537649,0.9015484006881781,0.9465628046323339,0.013781199493481416,87,5597,51267,11
subset_15%,Copula Based Outlier Detector,UL,0.523205041885376,0.6428847301709912,0.9982055658573408,0.6428847301709912,0.7808571220985349,0.004559461088365847,95,20339,36525,3
subset_15%,KNN Tuned,SL,0.6045989990234375,0.9992802219023208,0.9992518868483372,0.9992802219023208,0.9992629295170001,0.6114226084143796,73,16,56848,25
subset_15%,Isolation Forest Tuned,UL,1.443328619003296,0.9825322144587619,0.9979344064120053,0.9825322144587619,0.9896901477787079,0.05127100678340237,72,969,55895,26
subset_15%,Local Outlier Factor Tuned,UL,0.18493103981018066,0.9890628840279485,0.9982200988651492,0.9890628840279485,0.9931443026791226,0.10199404020485225,83,608,56256,15
subset_15%,Histogram- based outlier detection Tuned,UL,0.04403805732727051,0.8933323970366209,0.9980877645317386,0.8933323970366209,0.9419949429776995,0.012747515273263248,87,6065,50799,11
subset_15%,Random Forest Tuned,SL,0.04169201850891113,0.9990695551420246,0.999055721418606,0.9990695551420246,0.9990623359769567,0.526807345247709,70,25,56839,28
subset_15%,Multi-layer Perceptron Tuned,SL,1.3222846984863281,0.9990871107053826,0.9990076804002661,0.9990871107053826,0.9990235170577069,0.4970818935366729,60,14,56850,38
subset_15%,XGBoost Tuned,SL,0.07352113723754883,0.9991397773954567,0.9991190544253692,0.9991397773954567,0.9991285368460991,0.553579113223614,71,22,56842,27
subset_15%,LightGBM Tuned,SL,0.19106173515319824,0.9988062216916541,0.9988076475492556,0.9988062216916541,0.9984894810059093,0.3073162272879378,30,0,56864,68
subset_15%,CatBoost Tuned,SL,0.16870355606079102,0.9990871107053826,0.9990218863239532,0.9990871107053826,0.9989627943053522,0.474768260165874,51,5,56859,47
subset_15%,Label Propagation Tuned,SSL,1.5628650188446045,0.9991222218320986,0.9990451410966811,0.9991222218320986,0.9990430202705972,0.5055041433026285,58,10,56854,40
subset_15%,Label Spreading Tuned,SSL,1.6449496746063232,0.9991222218320986,0.9990451410966811,0.9991222218320986,0.9990430202705972,0.5055041433026285,58,10,56854,40
subset_20%,Random Forest,SL,0.716543436050415,0.9990871107053826,0.9990050099965975,0.9990871107053826,0.999017405850566,0.49402366923853674,59,13,56851,39
subset_20%,Multi-layer Perceptron,SL,0.5696005821228027,0.9992626663389628,0.9992182783637998,0.9992626663389628,0.9992299478131966,0.5929680461308124,69,13,56851,29
subset_20%,XGBoost,SL,0.07206034660339355,0.9991573329588147,0.9990915062313275,0.9991573329588147,0.9991041423931677,0.5335091815596363,63,13,56851,35
subset_20%,LightGBM,SL,0.08261656761169434,0.9989817773252344,0.9988715683970594,0.9989817773252344,0.9988825817376364,0.4350818989287241,53,13,56851,45
subset_20%,CatBoost,SL,2.7124760150909424,0.9992802219023208,0.9992391065360363,0.9992802219023208,0.9992504443038419,0.6029011943282417,70,13,56851,28
subset_20%,Label Propagation,SSL,6.153725862503052,0.9980864435939749,0.9972529345306104,0.9980864435939749,0.9975671993516055,0.03006350073351616,9,20,56844,89
subset_20%,Label Spreading,SSL,6.261293411254883,0.9980864435939749,0.9972529345306104,0.9980864435939749,0.9975671993516055,0.03006350073351616,9,20,56844,89
subset_20%,KNN,SL,0.6506810188293457,0.9990519995786665,0.9989587944795408,0.9990519995786665,0.9989596450660752,0.46844196405432714,55,11,56853,43
